label,message,clean_text,processed_text,msg_length,word_count,num_links,num_exclaim,num_special,num_digits,num_upper,upper_ratio,has_html,trigger_count
spam,"Subject: Lose Weight Now
Buy our amazing weight loss pills, guaranteed results in 7 days!",subject lose weight now buy our amazing weight loss pills guaranteed results in days,subject lose weight buy amaz weight loss pill guarante result day,89,15,0,1,3,1,5,0.05555555555555555,0,1
spam,"Subject: Free Gift Card
Click to claim your 500 Amazon gift card before it expires today.",subject free gift card click to claim your amazon gift card before it expires today,subject free gift card click claim amazon gift card expir today,89,16,0,0,2,3,6,0.06666666666666667,0,3
spam,URGENT claim your free gift before it expires. Text FREE to 50505,urgent claim your free gift before it expires text free to,urgent claim free gift expir text free,65,12,0,0,1,5,11,0.16666666666666666,0,3
ham,"Subject: Office Supplies
The office supply order has been placed. Expect delivery by Wednesday.",subject office supplies the office supply order has been placed expect delivery by wednesday,subject offic suppli offic suppli order place expect deliveri wednesday,95,14,0,0,3,0,6,0.0625,0,0
ham,"Nah I don t think he goes to usf, he lives around here though",nah i don t think he goes to usf he lives around here though,nah think goe usf live around though,61,14,0,0,1,0,2,0.03225806451612903,0,0
spam,You won the lottery! Call 0800 111 2222 to claim your 50000 prize,you won the lottery call to claim your prize,lotteri call claim prize,65,13,0,1,1,16,2,0.030303030303030304,0,2
ham,"I will be there in 10 minutes, save me a seat",i will be there in minutes save me a seat,minut save seat,45,11,0,0,1,2,1,0.021739130434782608,0,0
spam,"Subject: Make Money Fast!
Dear Friend, You have been selected to receive 1000 dollars. Reply now.",subject make money fast dear friend you have been selected to receive dollars reply now,subject make money fast dear friend select receiv dollar repli,97,16,0,1,5,4,8,0.08163265306122448,0,0
spam,"Subject: Cheap Medication
V1agra and more at 80% off, no prescription needed. Order today.",subject cheap medication v agra and more at off no prescription needed order today,subject cheap medic agra prescript need order today,90,14,0,0,5,3,5,0.054945054945054944,0,0
ham,"Subject: Happy Birthday
Wishing you a very happy birthday! There will be cake in the break room at 3pm.",subject happy birthday wishing you a very happy birthday there will be cake in the break room at pm,subject happi birthday wish happi birthday cake break room,103,19,0,1,3,1,5,0.04807692307692308,0,0
ham,Did you watch the game last night? Crazy finish!,did you watch the game last night crazy finish,watch game last night crazi finish,48,9,0,1,2,0,2,0.04081632653061224,0,0
ham,"Subject: Project Update
Thanks for the update. The timeline looks good. Let me know if you need resources.",subject project update thanks for the update the timeline looks good let me know if you need resources,subject project updat thank updat timelin look good let know need resourc,106,18,0,0,4,0,6,0.056074766355140186,0,0
ham,What do you want for dinner tonight?,what do you want for dinner tonight,want dinner tonight,36,7,0,0,1,0,1,0.02702702702702703,0,0
spam,Dear valued customer you have been selected to receive a FREE gift. Reply YES to claim,dear valued customer you have been selected to receive a free gift reply yes to claim,dear valu custom select receiv free gift repli ye claim,86,16,0,0,1,0,9,0.10344827586206896,0,2
ham,Thanks for helping me with the project yesterday,thanks for helping me with the project yesterday,thank help project yesterday,48,8,0,0,0,0,1,0.02040816326530612,0,0
spam,"Subject: Congratulations Winner
You have won 50000 in our online lottery. Reply to claim your prize.",subject congratulations winner you have won in our online lottery reply to claim your prize,subject congratul winner onlin lotteri repli claim prize,100,16,0,0,3,5,5,0.04950495049504951,0,5
spam,URGENT! You have won a 1 week FREE membership in our prize Jackpot! Txt the word CLAIM to 81010,urgent you have won a week free membership in our prize jackpot txt the word claim to,urgent week free membership prize jackpot txt word claim,95,19,0,2,2,6,18,0.1875,0,4
ham,Can we reschedule to 3pm instead? Works better for me,can we reschedule to pm instead works better for me,reschedul instead work better,53,10,0,0,1,1,2,0.037037037037037035,0,0
ham,"Subject: Code Review Request
Could you please review my pull request when you get a chance? No rush.",subject code review request could you please review my pull request when you get a chance no rush,subject code review request could pleas review pull request get chanc rush,100,18,0,0,3,0,6,0.0594059405940594,0,0
ham,"Call me when you get a chance, need to talk about tomorrow",call me when you get a chance need to talk about tomorrow,call get chanc need talk tomorrow,58,12,0,0,1,0,1,0.01694915254237288,0,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry,free entri wkli comp win cup final tkt may text receiv entri,101,23,0,0,1,12,8,0.0784313725490196,0,2
spam,"Subject: Work From Home
Earn 5000 per week working just 2 hours a day from home. Easy money.",subject work from home earn per week working just hours a day from home easy money,subject work home earn per week work hour day home easi money,92,18,0,0,3,5,6,0.06451612903225806,0,0
ham,"Subject: System Maintenance
Planned maintenance this Saturday 2-4am. Systems will be unavailable.",subject system maintenance planned maintenance this saturday am systems will be unavailable,subject system mainten plan mainten saturday system unavail,97,12,0,0,4,2,6,0.061224489795918366,0,0
